invoice_number,csv_amount,bq_amount,state,start_date,end_date,_merge,category,amount_diff
INV-108432,55.0,55.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108433,215.0,215.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108434,186.0,186.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108435,147.0,147.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108436,84.0,84.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108437,299.0,298.81,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.19
INV-108438,49.0,49.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.5
INV-108439,75.0,75.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108440,75.0,74.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108441,2384.0,2383.69,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.31
INV-108442,2786.0,2786.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108443,1475.0,1475.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108444,448.0,448.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108445,110.0,110.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108446,26.0,26.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108447,114.0,114.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108448,1800.0,1800.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108449,2091.0,2091.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108450,327.0,326.98,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.02
INV-108451,900.0,900.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108452,550.0,549.92,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.08
INV-108453,60.0,60.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108454,284.0,284.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108455,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
